,Unnamed: 0.1,folder,ENSEIGNE,Unnamed: 0,ville,adresse,CP_x,TYPE DE VENTE,RAISON SOCIAL,EN VENTE,GÉRANCE LIBRE,ADRESSE ,CP_y,VILLE,ADRESSE,AFFAIRE,Colonne1,siret,CP
6,6,AFFRANCHIS (Les) - 75012 PARIS - 14 Avenue DAUMESNIL,LES_AFFRANCHIS,6.0,PARIS,,75012.0,,,NON VENDEUR,,28 BOULEVARD VOLTAIRE,75010.0,PARIS,28 BOULEVARD VOLTAIRE; 75010 PARIS,AFFRANCHIS - ,,,
7,8,AQUABIKE - 75015 PARIS - 45 Avenue de la MOTTE-PICQUET,,8.0,,,,,,,,,,,,,,,
8,9,ASCENSION -75018 - 62 RUE CUSTINE,,9.0,,,,,,,,,,,,,,,
9,10,ASIAN KITCHEN - 75007 PARIS - 49 Quai d'ORSAY - 20240925,,10.0,,,,,,,,,,,,,,,
11,12,AVELLINO - 4 Bld Richard WALLACE - 92800 PUTEAUX,,12.0,PUTEAUX,,92800.0,,,,,,,,,,,,
12,13,AZZURO - 92100 BOULOGNE-BILLANCOURT - 59 Place René CLAIR,,13.0,,,,,,,,,,,,,,,
15,16,BARIOLÉ (Le) - 75020 PARIS - 103 Rue de BELLEVILLE,,16.0,PARIS,,75020.0,,,,,,,,,,,,
16,17,BEBER - 75006 PARIS - 71 Bld du MONTPARNASSE,,17.0,PARIS,,75006.0,,,,,,,,,,,,
18,19,BISTROT BALNÉAIRE (Le) - 40150 SOORTS-HOSSEGOR - 1830 Avenue du TOURING CLUB,,19.0,,,,,,,,,,,,,,,
20,21,BISTROT DE RUNGIS - DEFICIT REPORTABLE,,21.0,,BISTROT DE RUNGIS - DEFICIT REPORTABLE,,,,,,,,,,,,,
22,23,BOIS LE VENT (Le - 75016 PARIS - 59 Rue de BOULAINVILLIERS,,23.0,PARIS,,75016.0,,,,,,,,,,,,
28,29,BRIOCHE DORÉE - 78 Av des CHAMPS ELYSÉES - 75008 PARIS,,29.0,PARIS,,75008.0,,,,,,,,,,,,
29,30,BROOKLYN CAFE - 75017 PARIS - 32 Place Saint FERDINAND,,30.0,PARIS,,75017.0,,,,,,,,,,,,
30,31,CAFE DU MEXIQUE - 75016 PARIS - 3 Place de MEXICO,,31.0,PARIS,,75016.0,,,,,,,,,,,,
32,33,CANTINA - 75016 - CLAUDE TERRASSE - 16,,33.0,,,,,,,,,,,,,,,
33,34,CHEZ BEBER - 75006 PARIS - 71 Bld du MONTPARNASSE,,34.0,PARIS,,75006.0,,,,,,,,,,,,
35,36,CIAL - 75001 PARIS - rue Mondétour - 16,,36.0,,,,,,,,2 RUE DE LA PETITE TRUANDERIE,75001.0,PARIS,2 RUE DE LA PETITE TRUANDERIE; 75001 PARIS,CIAL  - ,,,
37,38,CLOS BOURGUIGNON (Le) - 75009 PARIS - 39 Rue CAUMARTIN,,38.0,PARIS,,75009.0,,,,,,,,,,,,
38,39,COMPAGNIE (La) - 75017 PARIS - 123 Av de WAGRAM,,39.0,PARIS,,75017.0,,,VENTE EN PORTEFEUILLE - SANS MANDAT,,123 AVENUE DE WAGRAM,75017.0,PARIS,123 AVENUE DE WAGRAM; 75017 PARIS,COMPAGNIE - ,,,
41,42,DODDY'S - 75017 PARIS - 80 Rue Mstislav ROSTROPOVITCH,,42.0,PARIS,,75017.0,,,,,,,,,,,,
42,43,EL SOL - 75008 - 22 RUE DE PONTHIEU,,43.0,,,,,,,,,,,,,,,
44,45,GERMAIN - 94340 - JOINVILLE LE PONT - quai de la Marne,,45.0,,,,,,,,,,,,,,,
45,46,GRILLON - SARL LE SUQUET,,46.0,,GRILLON - SARL LE SUQUET,,,,,,19 RUE FALGUIÈRE,75015.0,PARIS,19 RUE FALGUIÈRE; 75015 PARIS,GRILLON - ,,,
46,47,GROUPE DORR,,47.0,,,,,,,,,,,,,,,
47,48,HIPPOPOTAMUS BASTILLE - 75004 PARIS - 1 Bld BEAUMARCHAIS,,48.0,PARIS,,75004.0,,,REPRENDRE CONTACT,,1 BOULEVARD BEAUMARCHAIS,75004.0,PARIS,1 BOULEVARD BEAUMARCHAIS; 75004 PARIS,HIPPOPOTAMUS BASTILLE - ,,,
51,53,MADELEINE 7 (Le) - 75001 PARIS - 7 Bld de La MADELEINE,,53.0,PARIS,,75001.0,,LE MADALOU,REPRENDRE CONTACT,,7 BOULEVARD DE LA MADELEINE,75001.0,PARIS,7 BOULEVARD DE LA MADELEINE; 75001 PARIS,MADELEINE 7 - ,,,
52,54,MAISON DE L'INFANTE - 64500 SAINT JEAN DE LUZ - 1 Rue de l'INFANTE,,54.0,SAINT,,64500.0,,,,,,,,,,,,
54,56,MAMMA ROMA - 55 Rue du CHERCHE MIDI - 75006 PARIS,,56.0,PARIS,,75006.0,,,,,,,,,,,,
55,57,MAMY CREPES - 18 Rue SURCOUF - 75007 PARIS,,57.0,PARIS,,75007.0,,,,,,,,,,,,
56,58,MARÉCHAL BRUNE,,58.0,,,,,,VENTE EN PORTEFEUILLE - AVEC MANDAT,,9 BOULEVARD BRUNE,75014.0,PARIS,9 BOULEVARD BRUNE; 75014 PARIS,MARÉCHAL BRUNE - ,,,
57,59,MIZON - 75009 - 3 RUE DE LA GRANGE BATTELIERE,,59.0,,,,,,,,,,,,,,,
58,60,MIZON - 75010 - 37 QUAI DE VALMY,,60.0,,,,,,,,,,,,,,,
59,61,MONSIEUR LE ZINC - 75006 PARIS - R-15 rue MONSIEUR LE PRINCE,,61.0,,,,,,,,,,,,,,,
61,63,MUSEE DU CHOCOLAT - 14 AVENUE BEAURIVAGE - 64200 BIARRITZ,,63.0,BIARRITZ,,64200.0,,,,,,,,,,,,
62,64,NOMAD'S - 12 Place du MARCHE SAINT HONORÉ - 75001 PARIS,,64.0,PARIS,,75001.0,,,VENTE EN PORTEFEUILLE - AVEC MANDAT,,12 RUE DU MARCHÉ SAINT HONORÉ,75001.0,PARIS,12 RUE DU MARCHÉ SAINT HONORÉ; 75001 PARIS,NOMAD'S - ,,,
63,65,NOVIMENTO - 75008 PARIS - 11 Rue TRONCHET,,65.0,PARIS,,75008.0,,,,,,,,,,,,
64,66,O'NIEL - 75006 - 20 RUE DES CANNETTES,,66.0,,,,,,,,,,,,,,,
66,68,PAOLA - 94300 VINCENNES - 60 Rue de MONTREUIL,,68.0,VINCENNES,,94300.0,,,,,32 RUE DE L'ÉGLISE,94300.0,VINCENNES,32 RUE DE L'ÉGLISE; 94300 VINCENNES,PAOLA - ,,,
67,69,PAOLA - 94300 VINCENNES - 60 Rue de MONTREUIL,,69.0,VINCENNES,,94300.0,,,,,60 RUE DE MONTREIL,94300.0,VINCENNES,60 RUE DE MONTREIL; 94300 VINCENNES,PAOLA - ,,,
68,70,PAPARAZZI - 75009 PARIS - 6 Square de l'OPÉRA - Louis JOUVET,,70.0,,,,,,REPRENDRE CONTACT,,6 SQUARE DE L'OPÉRA,75009.0,PARIS,6 SQUARE DE L'OPÉRA; 75009 PARIS,PAPARAZZI - ,,,
70,72,PETIT LUX - 75006 PARIS - 29 Rue de VAUGIRARD,,72.0,PARIS,,75006.0,,,,,,,,,,,,
71,73,PETIT MARGUERY (Au) - 75013 PARIS - 9 Bld de PORT-ROYAL,,73.0,,,,,,,,,,,,,,,
76,78,PREVOYANT (Le) - 75010 PARIS - 79 bd de MAGENTA,,78.0,PARIS,,75010.0,,,NON VENDEUR,,79 BOULEVARD DE MAGENTA,75010.0,PARIS,79 BOULEVARD DE MAGENTA; 75010 PARIS,PREVOYANT - ,,,
77,79,RICHER (Le) - 75009 PARIS - 1 Rue RICHER,,79.0,PARIS,,75009.0,,,NON VENDEUR,,2 RUE RICHER,75009.0,PARIS,2 RUE RICHER; 75009 PARIS,RICHER - ,,,
78,80,SOPI,,80.0,,,,,,,,,,,,,,,
79,81,STARBUCKS CAFÉ - 75018 PARIS - 10 Rue NORVINS,,81.0,PARIS,,75018.0,,,,,,,,,,,,
80,82,STELLAS MARIS - 132 Rue du BAC - 75007 PARIS,,82.0,PARIS,,75007.0,,,,,,,,,,,,
81,83,TAM - 75006 - 43 RUE MAZARINE,,83.0,,,,,,,,,,,,,,,
84,86,TOUR MAUBOURG (La) - 75007 PARIS - 58 Bld de la TOUR MAUBOURG,,86.0,PARIS,,75007.0,,,,,,,,,,,,
87,89,VALOIS - PARC MONCEAU,,89.0,,VALOIS - PARC MONCEAU,,,,,,36 RUE JEAN JAURES,92300.0,LEVALLOIS-PERRET,36 RUE JEAN JAURES; 92300 LEVALLOIS-PERRET,VALOIS - ,,,
89,91,VILLA DU MUSEE - VILLA SAINT HONORE - ENZAFAMIGLIA LOUVRE - 75001 PARIS - 196 Rue Saint-HONORÉ,,91.0,,,,,,,,,,,,,,,
91,93,WOOD - LE BISTROT À VINS - 92400 COURBEVOIE - 35 Place des COROLLES,LE_BISTROT_A_VIN,93.0,,,,,,,,,,,,,,,
92,94,ZACK RESTAURANT - 93000 SAINT DENIS - 24 Avenue des FRUITIERS,,94.0,SAINT,,93000.0,,,,,24 RUE DES FRUITIERS,93210.0,LA PLAINE SAINT DENIS,24 RUE DES FRUITIERS; 93210 LA PLAINE SAINT DENIS,ZACK RESTAURANT - ,,,
94,96,HOTEL LOUIS II (H.BOUDAHOUT)- 2 rue Saint Sulpice 75006 PARIS,,96.0,,HOTEL LOUIS II (H.BOUDAHOUT)- 2 rue Saint Sulpice 75006 PARIS,,,,,,,,,,,,,
95,97,HOTEL TOUR EFFEIL - 75007 - RUE DE L'EXPOSITION,,97.0,,,,,,,,,,,,,,,
96,98,CHEZ CLAUDE - 166 Rue SAINT-HONORE - 75001 PARIS,,98.0,,,,,,,,,,,,,,,
97,99,CORDONNERIE - 75016 PARIS - 35 Rue de L'ANNONCIATION,,99.0,PARIS,,75016.0,,,,,,,,,,,,
99,101,IMMEUBLE APT + MURS  (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,101.0,,IMMEUBLE APT + MURS  (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,,,,,,,,,,,,
100,102,IMMEUBLE CHAUSSÉE D'ANTIN,,102.0,,,,,,,,,,,,,,,
101,103,IMMEUBLE VERSAILLES,,103.0,,,,,,,,,,,,,,,
102,104,MURS BOULANGERIE - HANNECART,,104.0,,MURS BOULANGERIE - HANNECART,,,,,,,,,,,,,
103,105,MURS BUREAUX 61 Rennes 75006,,105.0,,,,,,,,,,,,,,,
104,106,CERTAS,,106.0,,,,,,,,,,,,,,,
105,107,GROUPE - MONCEAU FLEURS,,107.0,,GROUPE - MONCEAU FLEURS,,,,,,,,,,,,,
106,108,LESCOT - FONCIERE ANTONIN,,108.0,,LESCOT - FONCIERE ANTONIN,,,,,,,,,,,,,
109,111,AMBASSADE D'AUVERGNE,,111.0,,,,,,NON VENDEUR,,22 RUE DU GRENIER SAINT-LAZARE,75003.0,PARIS,22 RUE DU GRENIER SAINT-LAZARE; 75003 PARIS,AMBASSADE D'AUVERGNE - ,,,
110,112,AVENIR - 104 Rue Sadi Carnot - 92 VANVES,,112.0,,,,,,VENTE EN PORTEFEUILLE,,104 RUE SADI CARNOT,92170.0,VANVES,104 RUE SADI CARNOT; 92170 VANVES,AVENIR - ,,,
111,113,BEAUX PARLEURS - SAS JADE - 35 Bld BONNE NOUVELLE - 75002 PARIS,,113.0,,,,,,,,,,,,,,,
113,116,BOULANGERIE - 48 Bld Gouvioon St Cyr - 75017 PARIS,,116.0,PARIS,,75017.0,,,,,,,,,,,,
